name_native	alt_names
bozbaş	آبگوشت بزباش
Bratkartoffeln	
Bratwurst	
Brezen	
Currywurst	
Döner Kebab	doner kebab
Eisbein	
Fischbrötchen	
Flammekueche	Flàmmeküeche, Flàmmaküacha, Flammkuche, Flammkuchen [de], tarte flambée [fr]
Himmel un Ääd	Himmel und Erde
Kaiserschmarrn	
Königsberger Klopse	
Labskaus	
Matjes	
Maultaschen	
Nürnberger Rostbratwurst	
Reibekuchen	
Rouladen	
Sauerbraten	
Sauerkraut	
Schnitzel	
Schweinshaxe	Stelze
Spätzle	
Spreewald Gurken	
Thüringer Rostbratwurst	
Weißwurst	
γιουβέτσι	
μπακλαβάς	
ντάκος	koukouvagia , koukouvayia, κουκουβάγια, kouloukopsomo
ντολμαδάκια	dolma
φασολάδα	fasoulada
poutine	
bangers and mash	
beef wellington	
scone	
spotted dick	spotted dog, railway cake
steak and kidney pie	
yorkshire pudding	
biryani	
chapati	chapatti, chappati, chapathi, chappathi, roti
dosa	dosai [ta], dosey [kn], dosha [ml]
idli	idly
payasam	kheer
pongal	
puri	poori
raita	
rasam	
sambar	
upma	upma, uppumavu, uppittu
uttapam	uthapam, uttappam
vada	medu vada, medhu vada, uddina vade [kn], urad vada, medhu vadai, ulundu vadai [ta], garelu [te], uzhunnu vada [ml], batuk [ne]
edikang ikong	edikangikong
ewa aganyin	ewa agoyin
fufu	fufuo, foofoo, foufou
jallof rice	
beef manhattan	
chili dog	
frybread	
gumbo	
jambalaya	
sourdough bread	
new england clam chowder	
manhattan clam chowder	
corn chowder	
pulled pork	
salisbury steak	
meatloaf	
eggs benedict	
pancakes	
waffles	
cheesecake	
fried chicken	southern fried chicken
chicken fried steak	country fried steak
crab cake	
lobster roll	
macaroni and cheese	
cornbread	
buttermilk biscuits	baking powder biscuits"
gravy	
chili con carne	chilli con carne, chile con carne, chili, chilli
texas smoked brisket	barbeque brisket, bbq brisket
barbeque ribs	
poke	
deep dish pizza	Chicago Style pizza, deep pan pizza
cheesesteak	Philadelphia cheesesteak, Philly cheesesteak, cheesesteak sandwich, cheese steak, steak and cheese
buffalo wings	
ice pop	popsicle, paleta, ice lolly, icy pole, ice block, ice drop, ice gola, ice candy
chicharrón	
ceviche	
migas	
sopaipilla	sopapilla, sopaipa, cachanga
pupusa	
boquerones en vinagre	
chireta	
escabeche	
gazpacho	
paella	
pisto	pisto manchego
al pastor	
barbacoa	
birria	
bistec	
burrito	
carne asada	
cabrito al pastor	cabrito a las brasas, cabrito a la leña
carnitas	
chalupa	
chile relleno	
chilequiles	
chiles en nogada	
chorizo	
enchilada	
gordita	
guacamole	
huarache	
huevos rancheros	
menudo	pancita, mole de panza
mole poblano	
pan de muerto	
panucho	
pico de gallo	salsa fresca, salsa bandera, salsa cruda
pozole	
salbut	
salsa	
salsa roja	
salsa verde	
sope	memela
taco	
tamale	
taquito	flauta, tacos dorados
tlacoyo	
tlayuda	
torta	lonche
torta ahogada	
tostada	
آبگوشت بزباش	bozbaş
cassoulet	
chicken marengo	
gratin dauphinois	
jambon-beurre	
kouign-amann	
mendiant	
poulet chasseur	poulet à la chasseur, poulet sauté chasseur
Աջափսանդալ	აჯაფსანდალი
լահմաջո	armenian pizza, turkish pizza, sfiha
acquasale	
pasta con i peperoni cruschi	
pizza margherita	
rafanata	
sartù di riso	
spaghetti alle vongole	
struffoli	scalilli, cicerchiata
gelato	
ちらし寿司	scattered sushi, barazushi
馴れ寿司	熟寿司, matured fish
お好み焼き	
豚骨ラーメン	
つけ麺	dipping ramen
ほうとう	
粕汁	
ちゃんこ鍋	
აჯაფსანდალი	Աջափսանդալ
ლობიო	
მჭადი	cornbread
ფხალი	mkhali
ჩაქაფული	
ჩახოხბილი	chahohbili
ჩურჩხელა	
ხარჩო	harcho
ხაჭაპური	
ხინკალი	hinkali, xinkali
김치	
불고기	
비빔밥	
삼겹살	
잡채	
찌개	
갈비찜	galbi-jjim, braised short ribs
쌈장	
새우젓	
보쌈	
갈비탕	kalbi tang
설렁탕	ox bone soup
물냉면	
잔치국수	banquet noodles
칼국수	
육회	
비빔 냉면	
회	hwe
매운탕	spicy fish stew
만두	
만두국	dumpling soup
계란찜	steamed eggs
해물파전 	seafood scallion pancake
떡볶이	simmered rice cakes
순두부찌개	
불닭	fire chicken
부대찌개	army base stew
떡국	sliced rice cake soup
탕평채	mung bean jelly salad
호떡	hoeddeok
빙수	bingsoo,
약과	
bobó de camarão	
galinhada	
moqueca	muqueca
mousse de maracujá	
vatapá	
café	bica [Lisbon], cimbalino [Porto]
café americano	
café com leite	
cappuccino	
galão	
pingado	
пельмени	
lakror	
tavë kosi	
แกงเขียวหวาน	
แกงป่า	
ขนมหม้อแกง	
ข้าวต้ม	
ข้าวผัด	
น้ำเงี้ยว	
ผัดกะเพรา	
adobong baboy	
adobong manók	
adobong pusit	
bagoóng	bagoong
bagoong alamang	
bagoong fried rice	binagoongan fried rice
bibingka	
binagoongan baboy	
bulalo	
crispy pata	
ginataang kalabasa	
ginisang munggo	
halo-halo	haluhalo
inihaw na liempo	
kare-kare	
laing	pinangat, laing pinangat, pinangat na laing, pinangat na gabi, ginataang laing
lechon kawali	lechon de carajay, litsong kawali
lumpia	ginamay, ginagmay 
lumpiang shanghai	lumpia, lumpiya, filipino spring rolls
menudo	
pancit bihon	pansit bihon
pancit canton	
pancit miki bihon	pansit miki bihon
pancit palabok	pancit luglug, pancit malabon
